new_title,new_source_id,new_author,new_level,matched_existing_title,matched_existing_source_platform,matched_existing_author,classification,match_scope
One Two Three,0143021a-acfc-471e-9550-f55165f5b316,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
The Moon and the Cap,f3677337-cdae-4dbd-99cf-e129178dbdee,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
Our Father,dc5864c6-0f73-4db7-8d5d-2b05f863c31b,Marleen Visser,2,Our Father,bloom(batch),Marleen Visser,true-dup,batch
The Hungry Crocodile,086b3ac3-a2e7-49c0-a215-e3d2a5cb98df,Wiehan de Jager,2,The Hungry Crocodile,bloom(batch),Wiehan de Jager,true-dup,batch
Wild Animals,0c444a4d-e072-424f-80c7-46f16afb2fff,Marleen Visser,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
Let’s Count Legs,29c0d9a7-440d-4249-8261-bb0e7da517ed,Meas SovannaraI,1,Let’s Count Legs,bloom(batch),Meas SovannaraI,true-dup,batch
"Come Back, Cat!",1b21c4ff-2396-49ca-8d49-24af11375a0c,Karen Lilje,2,"Come Back, Cat!",book_dash,"Nicola Rijsdijk, Karen Lilje, Sam Scarborough",true-dup,db
Wild Animals,56bd6de4-6045-403b-bd71-8b9d2f5ff557,Mbange Ernest Bawe,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
Colours of a Rainbow,e7c220f5-2c4e-42b5-82b9-1305c7561c90,,2,Colours of a Rainbow,african_storybook,Caren Echesa,unknown(author-missing),db
Маленькая козочка,68ccc5ff-141b-4970-815b-8bad57a2a244,Nicola Anne Smith,2,Маленькая козочка,bloom(batch),,unknown(author-missing),batch
One Two Three,fc107a82-c499-4e16-8c3f-22fc4b65ebdb,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Delmbe mfagna biashara,983b3943-630c-41f2-9e15-bdc1064e9f64,Zablon Alex Nguku,2,Delmbe mfagna biashara,bloom(batch),Zablon Alex Nguku,true-dup,batch
Life in my village,b60c96ac-26d9-4189-b9e0-4301c0db5846,"Illustration: Wiehan de Jager, Emily Berg, Catherine Groenewald, Marleen Visser, Mango Tree, Salim Kasamba, Silva Afonso and Melanie Pietersen",2,Life In my Village,african_storybook,Sylvia Komen,false-positive,db
Jobs,730ff52f-c329-40ff-a3d9-504cd2b9f983,Michael Mape,1,Jobs,bloom(batch),Michael Mape,true-dup,batch
Little and big,1eb5d48e-4da4-4760-8a98-0bda94a5d9d6,Little and big,1,Little and big,bloom,Little and big,true-dup,db
Didi's knowledge,d9def63f-b15f-4552-b4aa-8f114415c126,Kaveri Gopalakrishnan,2,Didi's knowledge,bloom,Kaveri Gopalakrishnan,true-dup,db
Look in the sky. What do you see?,4bd16754-7e46-4412-b870-8b2b6d4f6267,Craig Aldred,1,Look in the sky. What do you see?,bloom(batch),Craig Aldred,true-dup,batch
"A Street, or a Zoo?",cd00e28b-dada-41a9-b56b-4012e855bdbd,Priya Kuriyan,2,"A Street, or a Zoo?",bloom,Priya Kuriyan,true-dup,db
Wild Cat! Wild Cat!,3c0d7564-4c97-4d80-8214-29c4af72d35e,Rohan Chakravarty,2,Wild Cat! Wild Cat!,gdl,StoryWeaver,false-positive,db
Where Is It?,5af347bd-1885-4a46-a3d2-31e895afbb73,Magriet Brink & Leo Daly,1,Where Is It?,bloom,Magriet Brink & Leo Daly,true-dup,db
Tell the Story!,12f4e4ab-da8d-495e-98a9-138c0f93fab8,Gavin Thomson,2,Tell the Story!,bloom(batch),Gavin Thomson,true-dup,batch
"Don't Cry, My Child",836ee49d-8cf2-4c9e-9574-f03169329ccc,Wiehan de Jager,2,"Don't Cry, My Child",bloom(batch),Wiehan de Jager,true-dup,batch
Parts of the Face,749fbe25-6e36-478f-ae1d-84e8e7793598,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
Friends,30ba61f0-8bce-4603-99ef-acddda4975bd,Catherine Groenewald,1,Friends,bloom(batch),Catherine Groenewald,true-dup,batch
My Best Friend,518623fc-2bf1-4d68-8b76-33e0a7c8f421,Suvidha Mistry,2,My best friend,gdl,,unknown(author-missing),db
Opposites and Differences 1,c6af49a2-a435-4c24-9cb6-f9f9140b2830,SIL-PNG Education for Life,1,Opposites and Differences 1,bloom(batch),SIL-PNG Education for Life,true-dup,batch
The Mother,49e6ca36-068f-4473-9a11-4123bea49f5b,,2,The Mother,bloom(batch),,unknown(author-missing),batch
Wild Animals,94a83f12-4ef6-47e5-a8e4-a048e75683a9,Mbange Ernest Bawe,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
My Car,e3f6aba8-57ce-4cb6-8b7e-ef906087b4e6,Phidi Pulu,2,My Car,bloom(batch),Phidi Pulu,true-dup,batch
Opposites and Differences 1,cf0a3bed-77c4-4b93-9ef1-bf8f8854eb05,various,1,Opposites and Differences 1,bloom(batch),SIL-PNG Education for Life,false-positive,batch
Happy and Sad,b01521d4-d283-46be-8ebc-91eb93147d16,Saurabh Pandey,2,Happy and Sad,african_storybook,Ursula Nafula,false-positive,db
The hungry caterpillar,b827a913-e24e-42c2-a86e-8b9a0f440c0b,,2,The hungry caterpillar,bloom(batch),,unknown(author-missing),batch
"Goat, Dog and Cow",15f8030c-f8ae-4bd4-bbd9-d0cc808b65e7,Marleen Visser,2,"Goat, Dog and Cow",bloom(batch),Marleen Visser,true-dup,batch
Nakehi and the Beans,51dd9471-703d-4204-a4ec-10d048bfe60d,N.D Mazin,2,Nakehi and the Beans,african_storybook,Little Zebra Books,false-positive,db
Look in the sky. What do you see?,076186b1-24a2-4fb5-9b49-dc147451e243,Craig Aldred,1,Look in the sky. What do you see?,bloom(batch),Craig Aldred,true-dup,batch
Noakawir and the Beans,4999a423-4f43-4747-8ffc-2f41f5427930,Andy Mason,2,Noakawir and the Beans,bloom,Andy Mason,true-dup,db
A Very Tall Man,95146c15-bb55-4e24-9a4b-2614e05730ef,Catherine Groenewald,2,A Very Tall Man,bloom(batch),Catherine Groenewald,true-dup,batch
Dog's Day,7e5a8e9d-28bd-4081-8509-fd081829eeff,Amazon.com,1,Dog's Day,gdl,,unknown(author-missing),db
No Pigs Allowed,5c9db347-5a61-4296-8e1b-eab361449593,Laura Liberatore,2,No Pigs Allowed,gdl,African Storybook,false-positive,db
Let's Count Birds,823230dd-920e-44eb-92b0-d59ea478031a,Pixabay,1,Let's Count Birds,bloom(batch),Pixabay,true-dup,batch
Maria’s Family,de11f583-2625-429f-a95d-5652e2a2d619,Magriet Brink & Leo Daly,1,Maria's Family,bloom,Magriet Brink & Leo Daly,true-dup,db
Sweet and Sour (Tell me now series),6e71df77-861c-43a0-b671-a5c42ee30351,Rijuta Ghate,1,Sweet and Sour (Tell me now series),bloom(batch),Rijuta Ghate,true-dup,batch
I Like to Draw,8acd817f-0252-47c6-9705-d8dc1ff7a9d0,Silva Alfonso,2,I Like to Draw,bloom(batch),Silva Alfonso,true-dup,batch
Farm Animals,db12c94f-fb1e-4aae-8f96-2382f4806e24,Marleen Visser,1,Farm Animals,bloom,Marleen Visser,true-dup,db
Decodable Reader,41322da3-73d0-4431-8725-7db16ae27a84,,1,Decodable Reader,bloom(batch),,unknown(author-missing),batch
Tell me now! - 'Good For You',34015c04-2cf7-467f-ba2a-057d78df0758,Rijuta Ghate,2,Tell me now! - 'Good For You',bloom(batch),Rijuta Ghate,true-dup,batch
Rain,80850f42-0f82-49db-b834-d3e6fe8caed2,Marleen Visser,1,Rain,gdl,,unknown(author-missing),db
Parts of the Body,e42812f0-90a9-47b7-bd18-0189992dc3de,Sue Beattie,1,Parts of the Body,bloom,Sue Beattie,true-dup,db
How to Tame a Monster,dfae41f7-a66c-4e95-87b7-884c7e968360,Anja Venter,2,How to Tame a Monster,book_dash,Sam Beckbessinger,false-positive,db
Parts of the Face,65c673da-edd6-4e8e-a758-6657db604ff1,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
Anak Itik dan Ikan Sapat,e998d8b2-66e2-4950-9ab4-46a6e92be07a,canva,2,Anak Itik dan Ikan Sapat,bloom,canva,true-dup,db
Parts of the Face,2cf4db1c-fd57-4231-84ee-f747221e7ef6,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
One Two Three,e7e4fde4-51a9-4206-9bdf-f41f14beef7d,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
The Lord is My Shepherd,06bbe6e1-a57b-442e-bbb8-2f196bedbe4b,Marleen Visser,1,The Lord is My Shepherd,african_storybook,Little Zebra Books,false-positive,db
I Can Do,16adeb6e-9fe9-4bc5-8205-8b705c0f6d4d,SIL-PNG Education for Life,1,I Can Do,bloom(batch),Gweni Hetzel,false-positive,batch
Parts of the Face,31029bfb-595f-4b2e-8959-ab661c19cf59,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
All about Opposites!,41be4076-b0e1-4cab-81b6-de7a26252e9f,Rijuta Ghate,1,All about opposites!,bloom(batch),Priya Kuriyan,false-positive,batch
Count to Ten,3863f861-cebc-4dc6-bce3-932bd2d3a105,,2,Count to Ten,bloom,,unknown(author-missing),db
"Hold and Touch Phase 1, Unit 3, Game 6 Mvskoke Growing Bilingual Community",52015370-16b7-4e6f-829d-06a0588b5798,Aimee Harjoe and Canva Artists,1,"Hold and Touch Phase 1, Unit 3, Game 6 Mvskoke Growing Bilingual Community",bloom(batch),Aimee Harjoe and Canva Artists,true-dup,batch
The Moon and the Cap,f44da848-3e68-405f-be87-72006a0bf2c5,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
Baby Goats,d248a24b-436a-4deb-94ae-d7bf34e4eb67,,2,Baby Goats,bloom(batch),,unknown(author-missing),batch
Bunty and Bubbly,af8da967-c9d1-4311-938b-4a20b8df5403,Sorit Gupto,2,Bunty and Bubbly,gdl,,unknown(author-missing),db
Domestic animals,7c2e9b0e-6e84-438c-80bb-d1d1eb6a3627,Sandy Campbell,2,Domestic animals,bloom(batch),Sandy Campbell,true-dup,batch
Sweet and Sour (Tell me now series),259d006c-4797-4820-a31c-904947669748,Rijuta Ghate,1,Sweet and Sour (Tell me now series),bloom(batch),Rijuta Ghate,true-dup,batch
Rain,ce82b117-65e3-4f84-8689-bc7aedde76dd,Marleen Visser,2,Rain,gdl,,unknown(author-missing),db
Our Father,aab3c0c3-bf14-42fd-b110-64a9823795c9,Marleen Visser,2,Our Father,bloom(batch),Marleen Visser,true-dup,batch
A Very Tall Man,1b84e4f0-25d9-443e-b7b5-2bc314006c87,Catherine Groenewald,2,A Very Tall Man,bloom(batch),Catherine Groenewald,true-dup,batch
The Mango Tree,61ae0e09-c7df-4d59-91a3-c11d5380e138,Kavya Singh,2,The Mango Tree,bloom(batch),Kavya Singh,true-dup,batch
Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,1bc73836-a184-44f7-98bf-c915cda40215,Vusi Malindi,2,Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,bloom(batch),Vusi Malindi,true-dup,batch
Dangerous Objects,b9c1e2e4-fe1d-4ce7-87e1-8b0bcef12fee,International Illustrations; The Art of Reading 3.0,1,Dangerous Objects,bloom(batch),International Illustrations; The Art of Reading 3.0,true-dup,batch
Where is my bat?,9252c020-e52b-4c9f-8a54-ca20c06e779f,Rijuta Ghate,2,Where is my bat?,bloom(batch),Rijuta Ghate,true-dup,batch
One Two Three,3f75708b-e505-4c46-b6cb-e3fe75e1e81f,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Counting,1db1eb35-5599-413d-9ab4-238cbbf3573d,"School of Education and Development (Centre for Adult Education), University of KwaZulu-Natal",2,Counting,bloom(batch),"School of Education and Development (Centre for Adult Education), University of KwaZulu-Natal",true-dup,batch
All about opposites!,056b98aa-7ebc-4863-8e8e-8de1b1100992,Rijuta Ghate,2,All about opposites!,bloom(batch),Priya Kuriyan,false-positive,batch
Maria's Family,a8be3bf2-663e-4d93-bcd5-309d9c1f1add,Magriet Brink & Leo Daly,1,Maria's Family,bloom,Magriet Brink & Leo Daly,true-dup,db
Amahle wants to help!,060c1001-6717-44b1-942a-fc34469e0285,Kelly Brown,2,Amahle wants to help!,book_dash,Refilwe Nsibande,false-positive,db
"Come back, Cat",997ce50b-268c-478e-a50b-3ac557a40849,Karen Lilje,1,"Come Back, Cat!",book_dash,"Nicola Rijsdijk, Karen Lilje, Sam Scarborough",true-dup,db
Everyone is Different,8129cc73-b6b1-429f-8237-0d55cabe6adc,N.D. Mazin,1,Everyone is Different,bloom(batch),N.D. Mazin,true-dup,batch
Life in my village,89b3cf25-638d-4ad1-9b68-01331716c394,,2,Life In my Village,african_storybook,Sylvia Komen,unknown(author-missing),db
A House For Mouse,71b38f3c-f8cf-49c3-9166-beef7814f53f,Amy Uzzell and Jennifer Jacobs,2,A House for Mouse,book_dash,"Michele Fry, Amy Uzzell, Jennifer Jacobs",false-positive,db
Parts of the Body,d5d187a1-0dc7-42a5-9b61-e4bdf1332ad9,Sue Beattie,1,Parts of the Body,bloom,Sue Beattie,true-dup,db
Tell the Story!,6a83f11a-ca93-4cde-9764-5d344648e65b,Gavin Thomson,2,Tell the Story!,bloom(batch),Gavin Thomson,true-dup,batch
Work and Play,165759e6-d634-477c-961c-7047cbb512e3,Mlungisi Dlamini,1,Work and Play,bloom(batch),Mlungisi Dlamini,true-dup,batch
Big Blue Bus,974a301e-aff7-4549-a5fe-42e4b2d73eb3,Mango Tree,2,Big Blue Bus,african_storybook,Mecelin Kakoro,false-positive,db
Friends,fbbef943-85aa-4a12-87f0-65a56cb7b85d,Catherine Groenewald,1,Friends,bloom(batch),Catherine Groenewald,true-dup,batch
"Goat, Dog and Cow",67eca7c7-5aaf-4b1f-bd03-ec23ad4646f2,Marleen Visser,1,"Goat, Dog and Cow",bloom(batch),Marleen Visser,true-dup,batch
One Two Three,e9ce32bc-51cf-4bec-83b4-74d59ccedad1,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Curious baby elephant,ce8dad9f-5b0b-4101-8360-3ae31d139d8f,Wiehan de Jager,2,Curious baby elephant,bloom(batch),Wiehan de Jager,true-dup,batch
Our Father,fb6ca792-9a48-4e3f-b1a0-27545a8541bd,Marleen Visser,2,Our Father,bloom(batch),Marleen Visser,true-dup,batch
Whose Shoe is This?,ec7c2654-831c-4b35-ad05-07b1dcbdd25f,Alicia van Zyl,2,Whose shoe is this?,book_dash,Siphiliselwe Makhanya,false-positive,db
Our Father,f5629287-d7b3-4b17-90d5-61838f81f910,Marleen Visser,1,Our Father,bloom(batch),Marleen Visser,true-dup,batch
Friends,01693920-5c1a-4dc8-8b4e-90150b1a888e,Catherine Groenewald,2,Friends,bloom(batch),Catherine Groenewald,true-dup,batch
Look in the sky. What do you see?,0f6d6788-9226-4374-b1a4-eb52d2923cdc,Craig Aldred,1,Look in the sky. What do you see?,bloom(batch),Craig Aldred,true-dup,batch
म को हुँ?,34494c26-2ca4-4f5c-8d9e-51675c75eb1d,Regis Muhirwa,1,म को हुँ?,bloom(batch),,unknown(author-missing),batch
Where Is It?,d8594bbd-283f-4893-b93d-b8d6bacc8ad2,Magriet Brink & Leo Daly,1,Where Is It?,bloom,Magriet Brink & Leo Daly,true-dup,db
Where is my bat?,d9f0e551-9c1c-434a-8553-36b222227047,Rijuta Ghate,1,Where is my bat?,bloom(batch),Rijuta Ghate,true-dup,batch
Where is My Mother?,e103c65c-1fab-4808-862e-a59d75ae6c38,R. C. Pradeep Kumar,2,Where is My Mother?,gdl,StoryWeaver,false-positive,db
The Moon and the Cap,feee67b2-72d8-4a1c-be5c-adfcf5aa0506,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
I Feel,62e5ab20-6ff7-4a26-a0d6-d2e26ea3f917,Craig Aldred modified by Elizabeth Carlson 2022,1,I Feel,bloom,Craig Aldred,true-dup,db
We made a decision,393be6da-e298-49b4-bfb9-6c9bcba90cef,Vusi Malindi,2,We made a decision,bloom(batch),Vusi Malindi,true-dup,batch
Where is it?,1a49239c-c4b9-467e-a3d7-9a2025b742e5,Magriet Brink & Leo Daly,1,Where Is It?,bloom,Magriet Brink & Leo Daly,true-dup,db
Big and little,aa628d50-0025-40e3-9860-1a5a29fd2936,Little and big,1,Big and little,bloom(batch),Little and big,true-dup,batch
One Two Three,b1a78789-9206-448b-a22c-5c906d5d168c,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
"One, Two, Three",7f4cf55f-0f92-4975-863b-59cf41e687e8,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
How do you want your eggs?,7434614a-8b1a-4f4c-a393-d56f59b32e58,Richard Bolland,1,How do you want your eggs?,book_dash,Tania Kliphuis,false-positive,db
The Comb of Pipay,2ff03520-84fe-416e-9999-51a6b237c878,,2,The Comb of Pipay,bloom(batch),,unknown(author-missing),batch
The Moon and the Cap,c8773b21-b025-488e-82b3-b6a0c5e170c0,Angie and Upesh,1,The Moon and the Cap,gdl,,unknown(author-missing),db
Parts of the Body,1e9d6b0d-d014-4db9-b253-3eb98e341f11,Sue Beattie,1,Parts of the Body,bloom,Sue Beattie,true-dup,db
Opposites and Differences 2,9f8243a5-c4e2-45c2-a69c-dcdb69e1befc,SIL-PNG Education for Life,2,Opposites and Differences 2,bloom(batch),SIL-PNG Education for Life,true-dup,batch
Maria's Family,6ca525eb-db46-4856-9b94-5ae0f5247366,Magriet Brink & Leo Daly,1,Maria's Family,bloom,Magriet Brink & Leo Daly,true-dup,db
Parts of the Face,787c9a39-3b49-49a8-80a2-eac230054529,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
Clouds,f585632d-8696-4200-9f8c-25133c6e6ff8,Clark Ness,1,Clouds,bloom(batch),Clark Ness,true-dup,batch
Look in the sky. What do you see?,3acd0905-d792-4026-ac2d-1bf7a92c7151,Craig Aldred,1,Look in the sky. What do you see?,bloom(batch),Craig Aldred,true-dup,batch
Little and Big,83b61578-562b-4461-b2d9-2e87da95bfb9,Little and big,1,Little and big,bloom,Little and big,true-dup,db
The Colourful Butterfly,395c8ff6-dbf4-4bd8-a1fc-f3a39d8cb8ef,SIL-PNG Education for Life,1,The Colourful Butterfly,bloom(batch),SIL-PNG Education for Life,true-dup,batch
Friends,d7c3508d-e013-477a-bc7b-81b40365af04,Catherine Groenewald,2,Friends,bloom(batch),Catherine Groenewald,true-dup,batch
A careless man,4c88d493-a3e0-437a-8ee5-7599be7a2b3c,"Catherine Groenewald, Vusi Malindi, Wiehan de Jager,",2,A Careless Man,african_storybook,Candiru Enzikuru Mary,false-positive,db
Too Big! Too Small!,d402b1d8-14ec-41c8-a470-00855a1b8cc7,Lavanya Karthik,2,Too Big! Too Small!,bloom(batch),Lavanya Karthik,true-dup,batch
My Best Friend,2c95de7c-b5f8-4ee0-861a-15b23d523c9d,Suvidha Mistry,2,My best friend,gdl,,unknown(author-missing),db
Fox and Rooster,165dbd6f-fef3-4fd1-9199-b9bb9b43dc38,Wiehan de Jager,2,Fox and Rooster,african_storybook,Vincent Afeku,false-positive,db
Weather,9fdf5968-c409-4220-814e-f8a021c67f12,Noah Agino,1,Weather,african_storybook,Beatres Nabune,false-positive,db
Big Blue Bus,fc6953ef-5be3-4892-919e-11bc58165de5,Mango Tree,2,Big Blue Bus,african_storybook,Mecelin Kakoro,false-positive,db
पाठा र म,0acee5de-eaeb-4c61-b6ac-c7c6fa169515,,2,पाठा र म,bloom(batch),,unknown(author-missing),batch
Parts of the Body,048a3433-3440-4b6d-8562-cf432e4cfde1,Sue Beattie,1,Parts of the Body,bloom,Sue Beattie,true-dup,db
Rain,00ef9805-d617-4fa6-ab0b-ce843ddf859a,Marleen Visser,2,Rain,gdl,,unknown(author-missing),db
Parts of the Body,58861c58-7afa-431f-bef7-133d152c6737,Sue Beattie,1,Parts of the Body,bloom,Sue Beattie,true-dup,db
Children of wax,4c31e1af-acd8-4a02-b5e8-243dae3e9d85,Wiehan de Jager,2,Children of wax,bloom(batch),Wiehan de Jager,true-dup,batch
Where Is It?,ac3ab074-9fac-4562-ad72-ba1062a7e9fc,Magriet Brink & Leo Daly,1,Where Is It?,bloom,Magriet Brink & Leo Daly,true-dup,db
One Two Three,5bc4f662-eae8-4ae3-a844-7d1c6f9ee67a,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Wild Animals,38bcf96a-0e8d-42e1-bbde-b842cba7de3f,Susan Rose,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
Fat King Thin Dog,a9104d77-cae9-4660-b078-31b3cd4f3160,Pratham Books,2,Fat King Thin Dog,bloom(batch),Pratham Books,true-dup,batch
My Blind Classmate,6ed880f3-cb86-4a9e-983c-723c1260a6fa,Jean-Marie Boayaga,2,My Blind Classmate,bloom(batch),Jean-Marie Boayaga,true-dup,batch
Transport,6f0f6fea-f777-4deb-ad9a-39437fe25613,Noah Agino,1,Transport,gdl,,unknown(author-missing),db
The story of Tiger and Cat,f3e8496a-bb93-4907-ae16-ce4c6225daba,,1,The story of Tiger and Cat,bloom(batch),,unknown(author-missing),batch
One Two Three,afb0ca13-93d1-4c8a-a4eb-086b369809e9,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
The Moon and the Cap,3327a451-ba33-46d7-a8f6-69ce23bfb627,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
Rain,b16b5e34-8b26-4385-a173-f9c4c04a7879,Marleen Visser,1,Rain,gdl,,unknown(author-missing),db
